user_id	epoch_0	epoch_1	epoch_2	epoch_3	epoch_4	epoch_5	epoch_6	epoch_7	epoch_8	epoch_9	epoch_10	epoch_11	epoch_12	epoch_13	epoch_14	epoch_15	epoch_16	epoch_17	epoch_18	epoch_19	epoch_20	epoch_21	epoch_22	epoch_23	epoch_24	epoch_25	epoch_26	epoch_27	epoch_28	epoch_29
0	16092	16092	16092	16092	16092	16092	16092	16092	16092	16092	16092	16092	16092	16092	16092	16092	16092	16092	16092	24422	16092	16092	16092	16092	16092	16092	16092	16092	16092	24164
1	5470	12602	12602	5470	12602	5470	5470	5470	12602	12602	12602	12602	5470	9755	12602	5470	12602	5470	5470	5470	5470	15246	5470	12602	12602	5470	5470	12602	5470	12602
2	8547	8547	8547	8547	8547	8547	15850	8547	8547	8547	8547	8547	8547	8547	8547	8547	8547	8547	15173	12408	25858	12408	8547	12408	8547	8547	8547	8547	25809	8547
3	19716	19716	19716	19716	19716	19716	9725	9725	15246	15246	19716	19716	19716	19716	9725	20229	9725	9725	15246	9725	9725	9725	15246	15246	19716	9725	15246	15246	19716	19716
4	26020	20797	20797	26020	26020	26020	20797	26020	26020	26020	26020	20797	5855	23814	26020	26020	26020	26020	26020	26020	21873	20797	4101	5855	26020	20797	26020	26020	26020	26020
5	12212	5478	1461	12212	12212	1461	12212	1461	1461	1461	1461	12212	12212	11199	12212	12212	12212	1461	1461	1461	12212	12212	1461	12212	1461	1461	1461	1461	1461	12212
6	15633	14040	19182	14040	14040	19182	14040	14040	14040	19182	19182	19182	19182	7453	14040	19182	19182	19182	14040	15633	14040	15633	15633	19182	19182	14040	14040	14040	19182	14040
7	21265	21265	15147	21265	21265	21265	21265	16765	21265	21265	21265	21265	21265	21265	21265	15147	15147	21265	16765	16765	21265	21265	21265	21265	15147	15147	21265	21265	21265	21265
8	26486	26486	7994	3453	26486	26486	26486	3453	3453	3453	3453	7994	3453	26377	3453	26486	26486	3453	26486	7994	26486	26486	26486	26486	26486	26486	3453	3453	3453	3453
9	18481	18481	18481	18481	18481	18481	18481	18481	18481	18481	18481	18481	18481	18481	18481	18481	18481	18481	18481	18481	18481	18481	18481	18481	18481	18481	18481	18481	18481	18481
10	3232	16470	16470	16470	121	16470	16470	3232	16470	16470	121	16470	121	16470	121	121	3334	16470	16470	3232	16470	16470	3232	16470	16470	121	16470	16470	16470	16470
11	23516	23516	23516	3311	23516	25282	3311	23516	23516	23516	15437	23516	23516	3311	23516	23516	23516	23516	23516	23516	23516	25282	23516	23516	15437	23516	3311	3311	3311	23516
12	2036	16587	16587	16587	16587	2036	18196	16587	16587	2036	7276	16587	2036	7276	7276	7276	2036	18196	2036	7276	16587	18196	2036	16587	7276	2036	2036	7276	7276	7276
13	26020	8547	26020	26020	16465	4000	2398	26020	8547	8547	26020	4000	8547	8547	8547	26020	2398	26020	26020	11930	26020	23118	23118	9167	16465	26020	16465	23118	21519	8547
14	26460	6395	6395	6395	6395	6395	6395	6395	6395	6395	6395	6395	6395	20509	6395	6395	6395	6395	6395	12759	6395	6395	6395	6395	12849	26460	6395	26460	12849	26460
15	23118	23118	23118	23118	23118	23118	23118	5384	5384	5384	23118	5384	23118	23118	5384	5384	23118	23118	23118	23118	23118	23118	23118	23118	23118	5384	23118	23118	23118	23118
