name,dataset,group,status,attempts,start_time,end_time,elapsed,best_epoch,val_recall@10,val_ndcg@10,val_recall@20,val_ndcg@20,val_recall@40,val_ndcg@40,val_recall@80,val_ndcg@80,test_recall@10,test_ndcg@10,test_recall@20,test_ndcg@20,test_recall@40,test_ndcg@40,test_recall@80,test_ndcg@80,log_path,error,overrides
Youshu_beta_end_0p005,Youshu,diffusion_noise_sensitivity,success,1,2026-07-16 02:28:44,2026-07-16 02:38:06,00:09:21,119,0.20606,0.12111,0.30187,0.14817,0.3992,0.17082,0.51518,0.19331,0.20287,0.14626,0.28568,0.17045,0.39833,0.20055,0.52255,0.22916,ablation_runs/beta_end_sensitivity_20260716\logs\Youshu_beta_end_0p005_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.latent_diffusion_beta_end"": 0.005, ""latent_rebuild.rebuild_k"": 7}"
Youshu_beta_end_0p010,Youshu,diffusion_noise_sensitivity,success,1,2026-07-16 02:38:06,2026-07-16 02:47:25,00:09:18,119,0.20632,0.12078,0.30271,0.14802,0.39921,0.1705,0.51508,0.19294,0.20212,0.14605,0.28609,0.17048,0.3974,0.20027,0.52128,0.22893,ablation_runs/beta_end_sensitivity_20260716\logs\Youshu_beta_end_0p010_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.latent_diffusion_beta_end"": 0.01, ""latent_rebuild.rebuild_k"": 7}"
Youshu_beta_end_0p020,Youshu,diffusion_noise_sensitivity,success,1,2026-07-16 02:47:25,2026-07-16 02:56:40,00:09:15,109,0.20907,0.12146,0.3001,0.14729,0.40035,0.17064,0.5134,0.19258,0.2036,0.1466,0.28926,0.1711,0.39964,0.20077,0.52033,0.22856,ablation_runs/beta_end_sensitivity_20260716\logs\Youshu_beta_end_0p020_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.latent_diffusion_beta_end"": 0.02, ""latent_rebuild.rebuild_k"": 7}"
Youshu_beta_end_0p040,Youshu,diffusion_noise_sensitivity,success,1,2026-07-16 02:56:40,2026-07-16 03:06:02,00:09:21,99,0.2065,0.12091,0.2992,0.14721,0.40224,0.17109,0.5122,0.1924,0.1991,0.14436,0.28833,0.17009,0.39788,0.19946,0.5217,0.22791,ablation_runs/beta_end_sensitivity_20260716\logs\Youshu_beta_end_0p040_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.latent_diffusion_beta_end"": 0.04, ""latent_rebuild.rebuild_k"": 7}"
Youshu_beta_end_0p060,Youshu,diffusion_noise_sensitivity,success,1,2026-07-16 03:06:02,2026-07-16 03:15:17,00:09:14,104,0.20731,0.12173,0.29821,0.14756,0.39964,0.17118,0.51446,0.19346,0.20234,0.14494,0.28631,0.16915,0.3935,0.19818,0.52113,0.22719,ablation_runs/beta_end_sensitivity_20260716\logs\Youshu_beta_end_0p060_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.latent_diffusion_beta_end"": 0.06, ""latent_rebuild.rebuild_k"": 7}"
Youshu_beta_end_0p080,Youshu,diffusion_noise_sensitivity,success,1,2026-07-16 03:15:17,2026-07-16 03:24:22,00:09:05,109,0.207,0.12096,0.29842,0.14693,0.40028,0.17059,0.51479,0.19277,0.20345,0.14515,0.28783,0.16953,0.39709,0.19893,0.52125,0.22743,ablation_runs/beta_end_sensitivity_20260716\logs\Youshu_beta_end_0p080_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.latent_diffusion_beta_end"": 0.08, ""latent_rebuild.rebuild_k"": 7}"
NetEase_beta_end_0p005,NetEase,diffusion_noise_sensitivity,success,1,2026-07-16 03:24:22,2026-07-16 03:52:31,00:28:08,44,0.05812,0.03117,0.08976,0.03954,0.13407,0.04921,0.18852,0.05924,0.06045,0.04016,0.09513,0.05096,0.13809,0.06239,0.19412,0.07493,ablation_runs/beta_end_sensitivity_20260716\logs\NetEase_beta_end_0p005_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.latent_diffusion_beta_end"": 0.005, ""latent_rebuild.rebuild_k"": 13}"
NetEase_beta_end_0p010,NetEase,diffusion_noise_sensitivity,success,1,2026-07-16 03:52:31,2026-07-16 04:20:48,00:28:17,39,0.05754,0.03093,0.08917,0.03933,0.13371,0.04907,0.18922,0.05927,0.06068,0.04026,0.09423,0.05075,0.13719,0.06219,0.19217,0.07454,ablation_runs/beta_end_sensitivity_20260716\logs\NetEase_beta_end_0p010_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.latent_diffusion_beta_end"": 0.01, ""latent_rebuild.rebuild_k"": 13}"
NetEase_beta_end_0p020,NetEase,diffusion_noise_sensitivity,success,1,2026-07-16 04:20:48,2026-07-16 04:48:18,00:27:29,39,0.05724,0.03087,0.08995,0.03959,0.13342,0.0491,0.18905,0.05933,0.06014,0.04015,0.09455,0.05088,0.13819,0.06242,0.19228,0.07466,ablation_runs/beta_end_sensitivity_20260716\logs\NetEase_beta_end_0p020_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.latent_diffusion_beta_end"": 0.02, ""latent_rebuild.rebuild_k"": 13}"
NetEase_beta_end_0p040,NetEase,diffusion_noise_sensitivity,success,1,2026-07-16 04:48:18,2026-07-16 05:16:23,00:28:05,44,0.05612,0.03035,0.09095,0.03965,0.13289,0.0488,0.18981,0.05925,0.06052,0.04021,0.09537,0.05108,0.13908,0.06266,0.19396,0.07504,ablation_runs/beta_end_sensitivity_20260716\logs\NetEase_beta_end_0p040_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.latent_diffusion_beta_end"": 0.04, ""latent_rebuild.rebuild_k"": 13}"
