name,dataset,group,status,attempts,start_time,end_time,elapsed,best_epoch,val_recall@10,val_ndcg@10,val_recall@20,val_ndcg@20,val_recall@40,val_ndcg@40,val_recall@80,val_ndcg@80,test_recall@10,test_ndcg@10,test_recall@20,test_ndcg@20,test_recall@40,test_ndcg@40,test_recall@80,test_ndcg@80,log_path,error,overrides
Youshu_wo_diffusion,Youshu,wo_table,success,1,2026-07-14 19:37:07,2026-07-14 19:44:31,00:07:24,109,0.20906,0.122,0.29817,0.14719,0.39925,0.17045,0.51264,0.19259,0.20422,0.14844,0.29195,0.17337,0.39899,0.20233,0.52304,0.23062,ablation_runs\full_ablation_20260714\logs\Youshu_wo_diffusion_attempt1.log,,"{""latent_rebuild.enabled"": false}"
Youshu_wo_dual_cl,Youshu,wo_table,success,1,2026-07-14 19:44:31,2026-07-14 19:51:40,00:07:08,119,0.15945,0.08839,0.23714,0.11031,0.33071,0.132,0.43781,0.15265,0.16763,0.11217,0.23259,0.13074,0.32905,0.15682,0.44653,0.18359,ablation_runs\full_ablation_20260714\logs\Youshu_wo_dual_cl_attempt1.log,,"{""anchor_cl.enabled"": false, ""c_lambdas"": [0.0]}"
Youshu_wo_prefusion_cl,Youshu,wo_table,success,1,2026-07-14 19:51:40,2026-07-14 19:59:14,00:07:34,119,0.20441,0.12152,0.29367,0.14685,0.3934,0.16975,0.51068,0.1925,0.20446,0.14517,0.29007,0.16921,0.39771,0.19829,0.51604,0.22547,ablation_runs\full_ablation_20260714\logs\Youshu_wo_prefusion_cl_attempt1.log,,"{""anchor_cl.enabled"": false}"
Youshu_wo_postfusion_cl,Youshu,wo_table,success,1,2026-07-14 19:59:15,2026-07-14 20:06:53,00:07:38,114,0.18343,0.10508,0.26265,0.12726,0.35993,0.14971,0.47201,0.17154,0.1881,0.12974,0.25949,0.15023,0.36409,0.17848,0.48636,0.2063,ablation_runs\full_ablation_20260714\logs\Youshu_wo_postfusion_cl_attempt1.log,,"{""c_lambdas"": [0.0]}"
NetEase_wo_diffusion,NetEase,wo_table,success,1,2026-07-14 20:06:53,2026-07-14 20:29:07,00:22:13,34,0.05714,0.03139,0.09194,0.04065,0.13502,0.05004,0.19299,0.06065,0.06002,0.04013,0.09475,0.05091,0.13867,0.06261,0.19445,0.07513,ablation_runs\full_ablation_20260714\logs\NetEase_wo_diffusion_attempt1.log,,"{""latent_rebuild.enabled"": false}"
NetEase_wo_dual_cl,NetEase,wo_table,success,1,2026-07-14 20:29:07,2026-07-14 20:51:13,00:22:05,4,0.02832,0.01504,0.04885,0.02048,0.07916,0.02702,0.12744,0.0358,0.03089,0.0195,0.0512,0.02601,0.08285,0.03424,0.12964,0.04466,ablation_runs\full_ablation_20260714\logs\NetEase_wo_dual_cl_attempt1.log,,"{""anchor_cl.enabled"": false, ""c_lambdas"": [0.0]}"
NetEase_wo_prefusion_cl,NetEase,wo_table,success,1,2026-07-14 20:51:13,2026-07-14 21:13:53,00:22:40,49,0.0534,0.02928,0.08784,0.03847,0.13395,0.04849,0.19258,0.05926,0.05792,0.03856,0.09057,0.04873,0.13808,0.06125,0.1988,0.07492,ablation_runs\full_ablation_20260714\logs\NetEase_wo_prefusion_cl_attempt1.log,,"{""anchor_cl.enabled"": false}"
NetEase_wo_postfusion_cl,NetEase,wo_table,success,1,2026-07-14 21:13:53,2026-07-14 21:36:22,00:22:28,4,0.03852,0.02079,0.06319,0.02731,0.10321,0.03594,0.15748,0.04589,0.04076,0.02641,0.06824,0.035,0.10755,0.04531,0.16245,0.05749,ablation_runs\full_ablation_20260714\logs\NetEase_wo_postfusion_cl_attempt1.log,,"{""c_lambdas"": [0.0]}"
Youshu_topk_01,Youshu,topk_sensitivity,success,1,2026-07-14 21:36:22,2026-07-14 21:45:35,00:09:13,114,0.20659,0.12319,0.30066,0.14965,0.39855,0.17221,0.51127,0.1942,0.20406,0.14779,0.28915,0.17186,0.39392,0.20046,0.51865,0.22904,ablation_runs\full_ablation_20260714\logs\Youshu_topk_01_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.rebuild_k"": 1}"
Youshu_topk_03,Youshu,topk_sensitivity,success,1,2026-07-14 21:45:35,2026-07-14 21:54:43,00:09:08,84,0.2021,0.1194,0.29993,0.14673,0.40095,0.17006,0.51237,0.19165,0.19925,0.14481,0.2893,0.17041,0.39079,0.19816,0.5182,0.22726,ablation_runs\full_ablation_20260714\logs\Youshu_topk_03_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.rebuild_k"": 3}"
Youshu_topk_05,Youshu,topk_sensitivity,success,1,2026-07-14 21:54:44,2026-07-14 22:04:17,00:09:33,119,0.20696,0.12166,0.3017,0.14847,0.39858,0.1711,0.51604,0.19381,0.20069,0.14535,0.28712,0.17016,0.39539,0.19943,0.51908,0.22798,ablation_runs\full_ablation_20260714\logs\Youshu_topk_05_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.rebuild_k"": 5}"
Youshu_topk_07,Youshu,topk_sensitivity,success,1,2026-07-14 22:04:17,2026-07-14 22:13:29,00:09:12,109,0.20871,0.1213,0.30069,0.14736,0.40042,0.17062,0.51306,0.19248,0.20393,0.14668,0.28946,0.17112,0.39964,0.20073,0.52039,0.22856,ablation_runs\full_ablation_20260714\logs\Youshu_topk_07_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.rebuild_k"": 7}"
Youshu_topk_09,Youshu,topk_sensitivity,success,1,2026-07-14 22:13:29,2026-07-14 22:22:50,00:09:20,119,0.20528,0.12125,0.30093,0.14816,0.40076,0.17124,0.51168,0.19281,0.20172,0.14522,0.28797,0.16994,0.39787,0.19951,0.51901,0.2276,ablation_runs\full_ablation_20260714\logs\Youshu_topk_09_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.rebuild_k"": 9}"
Youshu_topk_11,Youshu,topk_sensitivity,success,1,2026-07-14 22:22:50,2026-07-14 22:32:12,00:09:22,114,0.20703,0.12103,0.29918,0.14697,0.40146,0.17067,0.5148,0.19263,0.20133,0.14513,0.29023,0.17052,0.397,0.1995,0.51967,0.22775,ablation_runs\full_ablation_20260714\logs\Youshu_topk_11_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.rebuild_k"": 11}"
Youshu_topk_13,Youshu,topk_sensitivity,success,1,2026-07-14 22:32:12,2026-07-14 22:41:28,00:09:15,99,0.20661,0.12043,0.2991,0.14649,0.39949,0.16978,0.51599,0.19227,0.20073,0.14511,0.2908,0.17079,0.3914,0.19841,0.52134,0.22786,ablation_runs\full_ablation_20260714\logs\Youshu_topk_13_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.rebuild_k"": 13}"
Youshu_topk_15,Youshu,topk_sensitivity,success,1,2026-07-14 22:41:28,2026-07-14 22:50:53,00:09:24,109,0.20678,0.12064,0.29898,0.14664,0.4009,0.17008,0.51429,0.19208,0.20263,0.14619,0.28877,0.17068,0.39619,0.19987,0.5202,0.22835,ablation_runs\full_ablation_20260714\logs\Youshu_topk_15_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.rebuild_k"": 15}"
Youshu_topk_17,Youshu,topk_sensitivity,success,1,2026-07-14 22:50:53,2026-07-14 23:00:18,00:09:25,89,0.20622,0.12082,0.29624,0.14623,0.39679,0.1695,0.50995,0.19148,0.20317,0.1462,0.29036,0.17096,0.39516,0.19965,0.5203,0.22805,ablation_runs\full_ablation_20260714\logs\Youshu_topk_17_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.rebuild_k"": 17}"
Youshu_topk_19,Youshu,topk_sensitivity,success,1,2026-07-14 23:00:18,2026-07-14 23:09:37,00:09:18,114,0.20562,0.12022,0.29794,0.14605,0.4007,0.16986,0.51456,0.19177,0.20102,0.1448,0.29244,0.17073,0.39622,0.19906,0.51774,0.22708,ablation_runs\full_ablation_20260714\logs\Youshu_topk_19_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.rebuild_k"": 19}"
NetEase_topk_01,NetEase,topk_sensitivity,success,1,2026-07-14 23:09:37,2026-07-14 23:37:14,00:27:37,49,0.04463,0.0241,0.07114,0.03118,0.1083,0.03928,0.15978,0.04871,0.04523,0.03061,0.07288,0.03923,0.11077,0.04913,0.16292,0.06076,ablation_runs\full_ablation_20260714\logs\NetEase_topk_01_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.rebuild_k"": 1}"
NetEase_topk_03,NetEase,topk_sensitivity,success,1,2026-07-14 23:37:15,2026-07-15 00:04:34,00:27:18,49,0.05105,0.0279,0.08212,0.0362,0.12294,0.04514,0.17659,0.05504,0.05302,0.03536,0.08386,0.04499,0.12666,0.05625,0.18223,0.0687,ablation_runs\full_ablation_20260714\logs\NetEase_topk_03_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.rebuild_k"": 3}"
NetEase_topk_05,NetEase,topk_sensitivity,success,1,2026-07-15 00:04:34,2026-07-15 00:32:24,00:27:50,44,0.05366,0.02969,0.08732,0.0386,0.12932,0.04777,0.18416,0.05782,0.05663,0.03768,0.08853,0.04761,0.13203,0.05913,0.18992,0.07205,ablation_runs\full_ablation_20260714\logs\NetEase_topk_05_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.rebuild_k"": 5}"
NetEase_topk_07,NetEase,topk_sensitivity,success,1,2026-07-15 00:32:24,2026-07-15 01:00:15,00:27:50,49,0.05658,0.0308,0.08995,0.03968,0.13386,0.04924,0.18861,0.05929,0.05907,0.03926,0.09238,0.04952,0.13602,0.06108,0.19137,0.07357,ablation_runs\full_ablation_20260714\logs\NetEase_topk_07_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.rebuild_k"": 7}"
NetEase_topk_09,NetEase,topk_sensitivity,success,1,2026-07-15 01:00:15,2026-07-15 01:28:01,00:27:46,49,0.05644,0.03062,0.08863,0.03914,0.13362,0.04898,0.18959,0.05925,0.06008,0.03981,0.09327,0.05006,0.13672,0.06163,0.19233,0.07417,ablation_runs\full_ablation_20260714\logs\NetEase_topk_09_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.rebuild_k"": 9}"
NetEase_topk_11,NetEase,topk_sensitivity,success,1,2026-07-15 01:28:01,2026-07-15 01:55:52,00:27:50,34,0.05671,0.03089,0.09054,0.03989,0.13308,0.04915,0.18813,0.05925,0.0612,0.04055,0.09341,0.05055,0.13593,0.0618,0.19212,0.07441,ablation_runs\full_ablation_20260714\logs\NetEase_topk_11_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.rebuild_k"": 11}"
NetEase_topk_13,NetEase,topk_sensitivity,success,1,2026-07-15 01:55:52,2026-07-15 02:23:45,00:27:52,39,0.05732,0.03089,0.08983,0.03956,0.13352,0.04911,0.1887,0.05927,0.06039,0.04028,0.0946,0.05095,0.13811,0.06245,0.19205,0.07466,ablation_runs\full_ablation_20260714\logs\NetEase_topk_13_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.rebuild_k"": 13}"
NetEase_topk_15,NetEase,topk_sensitivity,success,1,2026-07-15 02:23:45,2026-07-15 02:51:33,00:27:47,39,0.05791,0.03107,0.09075,0.03978,0.13479,0.04944,0.1899,0.05956,0.06129,0.04042,0.09537,0.05101,0.13795,0.06237,0.19214,0.07461,ablation_runs\full_ablation_20260714\logs\NetEase_topk_15_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.rebuild_k"": 15}"
NetEase_topk_17,NetEase,topk_sensitivity,success,1,2026-07-15 02:51:33,2026-07-15 03:19:41,00:28:07,39,0.05815,0.03124,0.09078,0.03993,0.13506,0.04958,0.19088,0.05985,0.06124,0.04056,0.09358,0.05065,0.13739,0.06231,0.19218,0.07472,ablation_runs\full_ablation_20260714\logs\NetEase_topk_17_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.rebuild_k"": 17}"
NetEase_topk_19,NetEase,topk_sensitivity,success,1,2026-07-15 03:19:41,2026-07-15 03:47:35,00:27:54,39,0.05828,0.03121,0.09102,0.03992,0.13527,0.04954,0.1913,0.05983,0.06102,0.04067,0.09388,0.05092,0.13844,0.06268,0.1923,0.0749,ablation_runs\full_ablation_20260714\logs\NetEase_topk_19_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.rebuild_k"": 19}"
Youshu_anchor_lambda_0p000,Youshu,anchor_cl_weight_sensitivity,success,1,2026-07-15 03:47:35,2026-07-15 03:55:21,00:07:45,119,0.2043,0.12147,0.29363,0.14682,0.3939,0.16984,0.51058,0.19246,0.20468,0.14531,0.29006,0.16928,0.39738,0.19825,0.51631,0.2256,ablation_runs\full_ablation_20260714\logs\Youshu_anchor_lambda_0p000_attempt1.log,,"{""anchor_cl.anchor_cl_lambda"": 0.0, ""anchor_cl.enabled"": true}"
Youshu_anchor_lambda_0p001,Youshu,anchor_cl_weight_sensitivity,success,1,2026-07-15 03:55:21,2026-07-15 04:03:02,00:07:40,119,0.20642,0.12178,0.29432,0.14675,0.39392,0.16987,0.51401,0.19307,0.20487,0.14659,0.29014,0.17101,0.40039,0.20071,0.51879,0.22793,ablation_runs\full_ablation_20260714\logs\Youshu_anchor_lambda_0p001_attempt1.log,,"{""anchor_cl.anchor_cl_lambda"": 0.001, ""anchor_cl.enabled"": true}"
Youshu_anchor_lambda_0p002,Youshu,anchor_cl_weight_sensitivity,success,1,2026-07-15 04:03:02,2026-07-15 04:10:49,00:07:46,119,0.20884,0.12232,0.29733,0.14736,0.39631,0.1704,0.51451,0.19329,0.20469,0.14784,0.29109,0.17267,0.40166,0.20228,0.52035,0.22966,ablation_runs\full_ablation_20260714\logs\Youshu_anchor_lambda_0p002_attempt1.log,,"{""anchor_cl.anchor_cl_lambda"": 0.002, ""anchor_cl.enabled"": true}"
Youshu_anchor_lambda_0p004,Youshu,anchor_cl_weight_sensitivity,success,1,2026-07-15 04:10:49,2026-07-15 04:18:31,00:07:41,99,0.20716,0.12167,0.29882,0.14753,0.39813,0.17052,0.51322,0.19284,0.20435,0.14853,0.29439,0.17414,0.39582,0.20189,0.52236,0.23067,ablation_runs\full_ablation_20260714\logs\Youshu_anchor_lambda_0p004_attempt1.log,,"{""anchor_cl.anchor_cl_lambda"": 0.004, ""anchor_cl.enabled"": true}"
Youshu_anchor_lambda_0p006,Youshu,anchor_cl_weight_sensitivity,success,1,2026-07-15 04:18:31,2026-07-15 04:26:17,00:07:45,119,0.2073,0.12315,0.29692,0.14853,0.39831,0.17175,0.51276,0.19415,0.20213,0.14621,0.29224,0.17189,0.39793,0.20062,0.52325,0.22928,ablation_runs\full_ablation_20260714\logs\Youshu_anchor_lambda_0p006_attempt1.log,,"{""anchor_cl.anchor_cl_lambda"": 0.006, ""anchor_cl.enabled"": true}"
Youshu_anchor_lambda_0p008,Youshu,anchor_cl_weight_sensitivity,success,1,2026-07-15 04:26:17,2026-07-15 04:34:02,00:07:44,99,0.20029,0.12052,0.29564,0.14739,0.39841,0.17091,0.51221,0.19311,0.19888,0.14449,0.28797,0.16991,0.38927,0.19785,0.51965,0.22751,ablation_runs\full_ablation_20260714\logs\Youshu_anchor_lambda_0p008_attempt1.log,,"{""anchor_cl.anchor_cl_lambda"": 0.008, ""anchor_cl.enabled"": true}"
NetEase_anchor_lambda_0p000,NetEase,anchor_cl_weight_sensitivity,success,1,2026-07-15 04:34:02,2026-07-15 04:57:20,00:23:18,49,0.05355,0.02934,0.08765,0.03845,0.1341,0.04853,0.19259,0.05928,0.05786,0.03851,0.09061,0.04872,0.13786,0.06118,0.19874,0.07488,ablation_runs\full_ablation_20260714\logs\NetEase_anchor_lambda_0p000_attempt1.log,,"{""anchor_cl.anchor_cl_lambda"": 0.0, ""anchor_cl.enabled"": true}"
NetEase_anchor_lambda_0p001,NetEase,anchor_cl_weight_sensitivity,success,1,2026-07-15 04:57:21,2026-07-15 05:20:37,00:23:16,49,0.05518,0.02973,0.09034,0.03914,0.13514,0.04884,0.19309,0.05949,0.05815,0.03899,0.09186,0.04947,0.13961,0.06208,0.19818,0.07528,ablation_runs\full_ablation_20260714\logs\NetEase_anchor_lambda_0p001_attempt1.log,,"{""anchor_cl.anchor_cl_lambda"": 0.001, ""anchor_cl.enabled"": true}"
NetEase_anchor_lambda_0p003,NetEase,anchor_cl_weight_sensitivity,success,1,2026-07-15 05:20:37,2026-07-15 05:44:06,00:23:28,34,0.05689,0.03097,0.09112,0.0401,0.13544,0.04976,0.19337,0.06036,0.05972,0.03961,0.09319,0.05006,0.13949,0.06228,0.19812,0.0754,ablation_runs\full_ablation_20260714\logs\NetEase_anchor_lambda_0p003_attempt1.log,,"{""anchor_cl.anchor_cl_lambda"": 0.003, ""anchor_cl.enabled"": true}"
NetEase_anchor_lambda_0p005,NetEase,anchor_cl_weight_sensitivity,success,1,2026-07-15 05:44:06,2026-07-15 06:07:26,00:23:20,49,0.05682,0.03123,0.0917,0.04053,0.13542,0.05003,0.19327,0.06068,0.05961,0.03995,0.09453,0.05078,0.13934,0.06272,0.19619,0.0755,ablation_runs\full_ablation_20260714\logs\NetEase_anchor_lambda_0p005_attempt1.log,,"{""anchor_cl.anchor_cl_lambda"": 0.005, ""anchor_cl.enabled"": true}"
NetEase_anchor_lambda_0p007,NetEase,anchor_cl_weight_sensitivity,success,1,2026-07-15 06:07:26,2026-07-15 06:30:34,00:23:07,49,0.05808,0.03179,0.09151,0.04064,0.1346,0.05004,0.18902,0.0601,0.06016,0.04024,0.09512,0.05111,0.13736,0.06241,0.19259,0.07482,ablation_runs\full_ablation_20260714\logs\NetEase_anchor_lambda_0p007_attempt1.log,,"{""anchor_cl.anchor_cl_lambda"": 0.007, ""anchor_cl.enabled"": true}"
NetEase_anchor_lambda_0p009,NetEase,anchor_cl_weight_sensitivity,success,1,2026-07-15 06:30:34,2026-07-15 06:53:57,00:23:23,49,0.0574,0.0317,0.0897,0.04026,0.13269,0.04967,0.18761,0.05979,0.06049,0.04035,0.09369,0.05076,0.13587,0.06199,0.19023,0.07421,ablation_runs\full_ablation_20260714\logs\NetEase_anchor_lambda_0p009_attempt1.log,,"{""anchor_cl.anchor_cl_lambda"": 0.009, ""anchor_cl.enabled"": true}"
Youshu_diff_weight_0p000,Youshu,diffusion_weight_sensitivity,success,1,2026-07-15 06:53:58,2026-07-15 07:03:10,00:09:12,114,0.20794,0.12173,0.30054,0.14779,0.39897,0.17071,0.5147,0.19312,0.20144,0.14523,0.2907,0.17109,0.39669,0.1996,0.52093,0.22826,ablation_runs\full_ablation_20260714\logs\Youshu_diff_weight_0p000_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.latent_diffusion_set_loss_weight"": 0.0, ""latent_rebuild.rebuild_k"": 7}"
Youshu_diff_weight_0p010,Youshu,diffusion_weight_sensitivity,success,1,2026-07-15 07:03:10,2026-07-15 07:12:32,00:09:21,119,0.20711,0.12039,0.30142,0.14711,0.39931,0.1699,0.51392,0.19206,0.20234,0.14614,0.28819,0.17114,0.39643,0.20013,0.52041,0.22876,ablation_runs\full_ablation_20260714\logs\Youshu_diff_weight_0p010_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.latent_diffusion_set_loss_weight"": 0.01, ""latent_rebuild.rebuild_k"": 7}"
Youshu_diff_weight_0p030,Youshu,diffusion_weight_sensitivity,success,1,2026-07-15 07:12:32,2026-07-15 07:21:52,00:09:20,104,0.20796,0.12088,0.29952,0.14687,0.40134,0.17052,0.51347,0.1923,0.20241,0.14578,0.28752,0.17024,0.39562,0.19939,0.52193,0.22824,ablation_runs\full_ablation_20260714\logs\Youshu_diff_weight_0p030_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.latent_diffusion_set_loss_weight"": 0.03, ""latent_rebuild.rebuild_k"": 7}"
Youshu_diff_weight_0p040,Youshu,diffusion_weight_sensitivity,success,1,2026-07-15 07:21:52,2026-07-15 07:31:18,00:09:25,109,0.20911,0.12145,0.29993,0.14721,0.40032,0.17062,0.51323,0.19252,0.20393,0.14663,0.28957,0.1712,0.39938,0.20066,0.52016,0.22852,ablation_runs\full_ablation_20260714\logs\Youshu_diff_weight_0p040_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.latent_diffusion_set_loss_weight"": 0.04, ""latent_rebuild.rebuild_k"": 7}"
Youshu_diff_weight_0p050,Youshu,diffusion_weight_sensitivity,success,1,2026-07-15 07:31:18,2026-07-15 07:40:43,00:09:25,119,0.2066,0.12051,0.30171,0.14734,0.39935,0.17002,0.51445,0.19236,0.202,0.14623,0.28718,0.17078,0.39826,0.20054,0.52182,0.22909,ablation_runs\full_ablation_20260714\logs\Youshu_diff_weight_0p050_attempt1.log,,"{""latent_rebuild.enabled"": true, ""latent_rebuild.latent_diffusion_set_loss_weight"": 0.05, ""latent_rebuild.rebuild_k"": 7}"
