user_id,user_ub_train_deg,user_ui_deg,user_test_pos_count,train_bundle_count,train_connected_bundle_count,train_disconnected_bundle_count,train_connected_ratio,train_disconnected_ratio,avg_overlap_count_per_train_bundle,avg_overlap_ratio_per_train_bundle,user_test_avg_recover_count,user_test_avg_recover_ratio,user_test_recover_zero_count,user_test_recover_zero_ratio,ub_ui_balance
0,16,91,4,16,3,13,0.1875,0.8125,0.1875,0.005928030303030302,0.0,0.0,4,1.0,0.6265691762849285
1,45,57,12,45,8,37,0.17777777777777778,0.8222222222222222,0.3111111111111111,0.006220256625688773,0.75,0.01232672373611971,8,0.6666666666666666,0.9429122355725096
2,7,69,1,7,1,6,0.14285714285714285,0.8571428571428572,0.2857142857142857,0.005952380952380952,0.0,0.0,1,1.0,0.4894536590505323
3,7,51,1,7,0,7,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,0.5262751907458635
4,7,44,1,7,3,4,0.42857142857142855,0.5714285714285714,1.7142857142857142,0.03355117488542936,0.0,0.0,1,1.0,0.5462637014098147
5,6,81,1,6,3,3,0.5,0.5,1.3333333333333333,0.02817982456140351,0.0,0.0,1,1.0,0.4415779721531747
6,9,95,2,9,2,7,0.2222222222222222,0.7777777777777778,1.0,0.009947447447447447,0.5,0.011627906976744186,1,0.5,0.5044718317717921
7,3,17,1,3,0,3,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,0.4796249331362629
8,7,84,1,7,2,5,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.01164362519201229,1.0,0.02,0,0.0,0.468063195066675
9,35,77,10,35,5,30,0.14285714285714285,0.8571428571428572,0.42857142857142855,0.011225237347686327,0.0,0.0,10,1.0,0.8225289045031308
10,10,32,2,10,2,8,0.2,0.8,0.2,0.004267947993216507,0.0,0.0,2,1.0,0.6857972507265686
11,6,88,1,6,3,3,0.5,0.5,0.5,0.023509485094850947,0.0,0.0,1,1.0,0.4335192224919382
12,11,80,3,11,5,6,0.45454545454545453,0.5454545454545454,0.6363636363636364,0.015205962469463737,1.3333333333333333,0.008771929824561403,2,0.6666666666666666,0.5654648767857287
13,7,42,2,7,0,7,0.0,1.0,0.0,0.0,1.0,0.003278688524590164,1,0.5,0.5528664994461185
14,14,69,4,14,8,6,0.5714285714285714,0.4285714285714286,0.7857142857142857,0.017391554937793614,0.5,0.00510204081632653,3,0.75,0.6374139658435677
