user_id,user_ub_train_deg,user_ui_deg,user_test_pos_count,train_bundle_count,train_connected_bundle_count,train_disconnected_bundle_count,train_connected_ratio,train_disconnected_ratio,avg_overlap_count_per_train_bundle,avg_overlap_ratio_per_train_bundle,user_test_avg_recover_count,user_test_avg_recover_ratio,user_test_recover_zero_count,user_test_recover_zero_ratio,ub_ui_balance
0,33,1,10,33,3,30,0.09090909090909091,0.9090909090909091,0.09090909090909091,0.0007344010902202155,0.0,0.0,10,1.0,5.08746284125034
1,1,3,1,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,0.5
2,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
3,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
4,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
5,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
6,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
7,0,38,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
8,9,38,2,9,5,4,0.5555555555555556,0.4444444444444444,1.4444444444444444,0.016035898549659575,0.5,0.020833333333333332,1,0.5,0.6285099898418802
9,0,23,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
10,0,39,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
11,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
12,0,32,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
13,0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
14,26,7,8,26,6,20,0.23076923076923078,0.7692307692307692,0.3076923076923077,0.005999318170024175,0.625,0.01531439757110898,5,0.625,1.5849625007211563
15,0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
16,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
17,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
18,0,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
19,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
20,0,35,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
21,0,38,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
22,0,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
23,14,36,4,14,8,6,0.5714285714285714,0.4285714285714286,1.2142857142857142,0.019945758909674784,1.5,0.010011185682326621,2,0.5,0.7499617179386786
24,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
25,7,2,1,7,1,6,0.14285714285714285,0.8571428571428572,0.14285714285714285,0.0009523809523809525,0.0,0.0,1,1.0,1.892789260714372
26,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
27,0,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
28,0,34,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
29,1,8,1,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,0.3154648767857287
30,6,8,1,6,1,5,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.004273504273504273,0.0,0.0,1,1.0,0.8856218745807111
31,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
