user_id,user_ub_train_deg,user_ui_deg,user_test_pos_count,train_bundle_count,train_connected_bundle_count,train_disconnected_bundle_count,train_connected_ratio,train_disconnected_ratio,avg_overlap_count_per_train_bundle,avg_overlap_ratio_per_train_bundle,user_test_avg_recover_count,user_test_avg_recover_ratio,user_test_recover_zero_count,user_test_recover_zero_ratio,ub_ui_balance
0,31,136,8,31,18,13,0.5806451612903226,0.4193548387096774,0.7096774193548387,0.18494623655913978,1.125,0.27708333333333335,0,0.0,0.7044205973657058
1,18,31,4,18,11,7,0.6111111111111112,0.38888888888888884,0.8888888888888888,0.25092592592592594,0.75,0.22916666666666666,2,0.5,0.849585502688717
2,21,29,5,21,9,12,0.42857142857142855,0.5714285714285714,0.47619047619047616,0.13571428571428573,0.8,0.19666666666666668,2,0.4,0.9088100767170803
3,15,23,4,15,5,10,0.3333333333333333,0.6666666666666667,0.4,0.12444444444444443,0.5,0.13333333333333333,2,0.5,0.8724171679421262
4,42,88,11,42,21,21,0.5,0.5,0.6666666666666666,0.16269841269841273,0.9090909090909091,0.2,7,0.6363636363636364,0.8379382524849106
5,21,40,5,21,7,14,0.3333333333333333,0.6666666666666667,0.5238095238095238,0.17063492063492064,1.8,0.42666666666666664,2,0.4,0.8323636643738357
6,22,38,6,22,1,21,0.045454545454545456,0.9545454545454546,0.045454545454545456,0.009090909090909092,0.16666666666666666,0.041666666666666664,5,0.8333333333333334,0.8558595483828227
7,15,24,4,15,7,8,0.4666666666666667,0.5333333333333333,0.4666666666666667,0.12444444444444444,0.25,0.0625,3,0.75,0.8613531161467861
8,18,27,4,18,8,10,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.1175925925925926,0.5,0.16666666666666666,2,0.5,0.8836309326679427
9,17,27,4,17,9,8,0.5294117647058824,0.47058823529411764,0.7058823529411765,0.1764705882352941,0.0,0.0,4,1.0,0.8674052715162407
10,25,122,7,25,21,4,0.84,0.16000000000000003,1.52,0.36333333333333345,1.2857142857142858,0.35714285714285715,2,0.2857142857142857,0.6770514796225708
11,22,44,6,22,11,11,0.5,0.5,0.6818181818181818,0.1636363636363636,1.0,0.2388888888888889,2,0.3333333333333333,0.8236858992241085
12,15,55,4,15,14,1,0.9333333333333333,0.06666666666666665,2.6,0.6677777777777777,1.75,0.5,1,0.25,0.6887817351763924
13,49,117,13,49,41,8,0.8367346938775511,0.16326530612244894,1.1020408163265305,0.2996598639455782,1.1538461538461537,0.2705128205128205,3,0.23076923076923078,0.8200129149946288
14,17,35,4,17,8,9,0.47058823529411764,0.5294117647058824,0.7647058823529411,0.19509803921568625,0.5,0.16666666666666666,2,0.5,0.8065735963827292
15,16,52,4,16,7,9,0.4375,0.5625,0.4375,0.11874999999999998,0.5,0.13333333333333333,2,0.5,0.7136032830194116
16,40,72,11,40,22,18,0.55,0.44999999999999996,0.65,0.17833333333333332,0.7272727272727273,0.20606060606060606,4,0.36363636363636365,0.8655418184562368
17,37,50,10,37,11,26,0.2972972972972973,0.7027027027027026,0.2972972972972973,0.08513513513513514,0.6,0.17833333333333332,5,0.5,0.925164668913849
18,21,34,5,21,8,13,0.38095238095238093,0.6190476190476191,0.5714285714285714,0.13968253968253969,0.8,0.16999999999999998,3,0.6,0.8694064265717518
19,17,50,4,17,8,9,0.47058823529411764,0.5294117647058824,1.0588235294117647,0.25882352941176473,1.75,0.45,0,0.0,0.7351220597983265
20,14,19,4,14,8,6,0.5714285714285714,0.4285714285714286,0.5714285714285714,0.17500000000000002,0.5,0.13333333333333333,2,0.5,0.9039693650225663
21,14,13,4,14,5,9,0.35714285714285715,0.6428571428571428,0.35714285714285715,0.0976190476190476,0.75,0.25,2,0.5,1.0261429983777617
22,15,19,4,15,3,12,0.2,0.8,0.26666666666666666,0.08333333333333333,0.25,0.08333333333333333,3,0.75,0.9255128526390367
23,15,38,4,15,12,3,0.8,0.19999999999999996,0.8,0.21444444444444447,1.0,0.24583333333333335,0,0.0,0.7568014380674801
24,17,22,4,17,14,3,0.8235294117647058,0.17647058823529416,1.0588235294117647,0.28725490196078435,0.0,0.0,4,1.0,0.9218233423019256
25,22,56,6,22,14,8,0.6363636363636364,0.36363636363636365,0.8636363636363636,0.24166666666666667,0.8333333333333334,0.22777777777777775,1,0.16666666666666666,0.775526702041677
26,14,30,4,14,3,11,0.21428571428571427,0.7857142857142857,0.2857142857142857,0.07619047619047618,0.5,0.14583333333333331,2,0.5,0.7886022980997756
27,25,53,6,25,16,9,0.64,0.36,1.2,0.26600000000000007,1.6666666666666667,0.3722222222222222,0,0.0,0.8167735192693216
28,19,24,5,19,5,14,0.2631578947368421,0.736842105263158,0.2631578947368421,0.06929824561403508,0.2,0.06666666666666667,4,0.8,0.9306765580733931
29,43,83,11,43,21,22,0.4883720930232558,0.5116279069767442,0.6744186046511628,0.18720930232558142,0.9090909090909091,0.23636363636363636,4,0.36363636363636365,0.8540614080243946
30,18,21,5,18,9,9,0.5,0.5,0.5,0.12407407407407407,0.2,0.05,4,0.8,0.9525715106136455
31,16,34,4,16,9,7,0.5625,0.4375,0.9375,0.24166666666666664,0.5,0.16666666666666666,2,0.5,0.796887757557363
32,14,2,4,14,0,14,0.0,1.0,0.0,0.0,0.0,0.0,4,1.0,2.464973520717927
33,15,30,4,15,11,4,0.7333333333333333,0.2666666666666667,0.7333333333333333,0.2,1.0,0.25,0,0.0,0.8073963463283994
34,31,62,8,31,16,15,0.5161290322580645,0.4838709677419355,0.6129032258064516,0.15913978494623657,0.625,0.175,3,0.375,0.8365008940508707
35,16,23,4,16,7,9,0.4375,0.5625,0.4375,0.11875,0.5,0.14583333333333331,2,0.5,0.8914931890080744
36,14,36,4,14,3,11,0.21428571428571427,0.7857142857142857,0.21428571428571427,0.06190476190476191,0.5,0.125,2,0.5,0.7499617179386786
37,20,53,5,20,11,9,0.55,0.44999999999999996,0.65,0.19250000000000003,0.2,0.05,4,0.8,0.763232542969351
38,18,53,5,18,15,3,0.8333333333333334,0.16666666666666663,1.0,0.2574074074074074,1.0,0.26666666666666666,1,0.2,0.738142580866548
39,18,28,5,18,8,10,0.4444444444444444,0.5555555555555556,0.5,0.12685185185185185,0.2,0.05,4,0.8,0.8744224231638916
40,14,17,4,14,7,7,0.5,0.5,0.5,0.13333333333333333,0.25,0.0625,3,0.75,0.9369210703447151
41,20,63,5,20,10,10,0.5,0.5,0.7,0.17083333333333334,1.4,0.4666666666666666,1,0.2,0.7320529037964602
42,16,18,4,16,8,8,0.5,0.5,0.5,0.15104166666666666,0.75,0.175,1,0.25,0.9622251858852542
43,26,50,7,26,16,10,0.6153846153846154,0.3846153846153846,0.8846153846153846,0.24551282051282053,0.42857142857142855,0.08571428571428573,4,0.5714285714285714,0.8382459381141666
44,16,23,4,16,5,11,0.3125,0.6875,0.4375,0.09895833333333333,0.25,0.08333333333333333,3,0.75,0.8914931890080744
45,16,16,4,16,9,7,0.5625,0.4375,0.5625,0.13645833333333335,0.5,0.125,2,0.5,1.0
46,20,33,5,20,9,11,0.45,0.55,0.45,0.12,0.2,0.04,4,0.8,0.8633610819060579
47,21,23,6,21,6,15,0.2857142857142857,0.7142857142857143,0.3333333333333333,0.08412698412698412,0.3333333333333333,0.09722222222222221,4,0.6666666666666666,0.9726211758407807
48,22,35,6,22,9,13,0.4090909090909091,0.5909090909090908,0.4090909090909091,0.10303030303030303,0.8333333333333334,0.19999999999999998,2,0.3333333333333333,0.8749763207000147
49,22,19,5,22,12,10,0.5454545454545454,0.4545454545454546,0.5909090909090909,0.15984848484848485,0.6,0.13,2,0.4,1.0466536825099366
50,15,26,4,15,7,8,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.14,1.0,0.25,1,0.25,0.8412396714286099
51,23,40,6,23,10,13,0.43478260869565216,0.5652173913043479,0.4782608695652174,0.11231884057971016,0.3333333333333333,0.075,4,0.6666666666666666,0.8557943061997394
52,19,32,5,19,5,14,0.2631578947368421,0.736842105263158,0.2631578947368421,0.07192982456140351,0.2,0.06666666666666667,4,0.8,0.856778434163472
53,14,58,4,14,7,7,0.5,0.5,0.7142857142857143,0.15357142857142855,1.0,0.2375,0,0.0,0.6641386470036362
54,25,33,7,25,10,15,0.4,0.6,0.44,0.10933333333333334,0.2857142857142857,0.0642857142857143,5,0.7142857142857143,0.9239261032098017
55,14,30,4,14,7,7,0.5,0.5,0.5714285714285714,0.1630952380952381,0.5,0.125,2,0.5,0.7886022980997756
56,37,68,10,37,22,15,0.5945945945945946,0.4054054054054054,0.5945945945945946,0.16756756756756755,0.7,0.17666666666666664,3,0.3,0.8591154133172628
57,21,68,6,21,14,7,0.6666666666666666,0.33333333333333337,0.7619047619047619,0.20952380952380953,0.5,0.13055555555555556,3,0.5,0.7300341760421377
58,29,42,8,29,11,18,0.3793103448275862,0.6206896551724138,0.3793103448275862,0.09655172413793103,0.125,0.025,7,0.875,0.9042851422530538
59,15,40,4,15,8,7,0.5333333333333333,0.4666666666666667,0.6666666666666666,0.1622222222222222,0.75,0.15000000000000002,1,0.25,0.7466096449557734
60,22,65,5,22,10,12,0.45454545454545453,0.5454545454545454,0.6818181818181818,0.1621212121212121,0.4,0.10666666666666666,3,0.6,0.7483896428211634
61,21,26,6,21,10,11,0.47619047619047616,0.5238095238095238,0.5714285714285714,0.15396825396825398,0.5,0.13055555555555556,3,0.5,0.9378626974051986
62,17,31,4,17,5,12,0.29411764705882354,0.7058823529411764,0.47058823529411764,0.1264705882352941,0.75,0.15000000000000002,2,0.5,0.8339850002884625
63,81,116,23,81,55,26,0.6790123456790124,0.32098765432098764,0.7283950617283951,0.1888888888888889,0.4782608695652174,0.1246376811594203,12,0.5217391304347826,0.9253587348130746
64,21,30,6,21,8,13,0.38095238095238093,0.6190476190476191,0.42857142857142855,0.123015873015873,0.5,0.13055555555555556,3,0.5,0.9001321988972736
65,19,43,5,19,10,9,0.5263157894736842,0.4736842105263158,0.631578947368421,0.1973684210526316,0.4,0.10666666666666666,3,0.6,0.7916443316431058
66,20,33,5,20,13,7,0.65,0.35,0.65,0.18916666666666668,1.0,0.25,2,0.4,0.8633610819060579
