epoch,epoch_pair,avg_jaccard_overlap,avg_intersection_size,avg_union_size,num_users
2,1-2,0.698124,2.364065,3.635935,53897
3,2-3,0.862840,2.722025,3.277975,53897
4,3-4,0.899206,2.797020,3.202980,53897
5,4-5,0.908891,2.816613,3.183387,53897
6,5-6,0.912804,2.824591,3.175409,53897
7,6-7,0.927673,2.854760,3.145240,53897
8,7-8,0.916183,2.831531,3.168469,53897
9,8-9,0.907427,2.813663,3.186337,53897
10,9-10,0.917751,2.834481,3.165519,53897
11,10-11,0.897323,2.792975,3.207025,53897
12,11-12,0.901425,2.801251,3.198749,53897
13,12-13,0.873960,2.744847,3.255153,53897
14,13-14,0.877680,2.752602,3.247398,53897
15,14-15,0.906700,2.812049,3.187951,53897
16,15-16,0.891291,2.780656,3.219344,53897
17,16-17,0.922155,2.843609,3.156391,53897
18,17-18,0.913249,2.825445,3.174555,53897
19,18-19,0.929753,2.858805,3.141195,53897
20,19-20,0.917441,2.834017,3.165983,53897
21,20-21,0.904292,2.807355,3.192645,53897
22,21-22,0.893085,2.784589,3.215411,53897
23,22-23,0.890634,2.779487,3.220513,53897
24,23-24,0.898657,2.795851,3.204149,53897
25,24-25,0.891239,2.780470,3.219530,53897
26,25-26,0.899466,2.797521,3.202479,53897
27,26-27,0.911518,2.822179,3.177821,53897
28,27-28,0.911361,2.821660,3.178340,53897
29,28-29,0.904095,2.806650,3.193350,53897
30,29-30,0.891528,2.780841,3.219159,53897
