epoch,Selected Top-1,Selected Top-2,Selected Top-3
1,18580 (2),8727 (21),7001 (28)
2,18580 (2),19915 (7),9109 (10)
3,18580 (2),19915 (7),9109 (10)
4,18580 (2),19915 (7),9109 (10)
5,18580 (2),19915 (7),9109 (10)
6,18580 (2),19915 (7),9109 (10)
7,18580 (2),19915 (7),9109 (10)
8,18580 (2),19915 (7),8727 (21)
9,18580 (2),19915 (7),9109 (10)
10,18580 (2),19915 (7),9109 (10)
11,18580 (2),19915 (7),8048 (30)
12,18580 (2),19915 (7),8727 (21)
13,18580 (2),23179 (3),8048 (30)
14,18580 (2),23179 (3),8048 (30)
15,18580 (2),8727 (21),8048 (30)
16,18580 (2),23179 (3),8048 (30)
17,18580 (2),8727 (21),8048 (30)
18,18580 (2),9109 (10),8048 (30)
19,18580 (2),8727 (21),8048 (30)
20,18580 (2),8727 (21),8048 (30)
21,18580 (2),23179 (3),8048 (30)
22,18580 (2),9109 (10),8048 (30)
23,18580 (2),8727 (21),8048 (30)
24,18580 (2),8727 (21),8048 (30)
25,18580 (2),9109 (10),8048 (30)
26,18580 (2),8727 (21),8048 (30)
27,18580 (2),8727 (21),8048 (30)
28,18580 (2),23179 (3),8048 (30)
29,18580 (2),8727 (21),8048 (30)
30,18580 (2),23179 (3),8048 (30)
