epoch,slot,bundle_id,pretrained_rank,pretrained_score
1,1,18580,2,8.65573311
1,2,8727,21,5.96798468
1,3,7001,28,5.18243456
2,1,18580,2,8.65573311
2,2,19915,7,7.52781773
2,3,9109,10,7.14860344
3,1,18580,2,8.65573311
3,2,19915,7,7.52781773
3,3,9109,10,7.14860344
4,1,18580,2,8.65573311
4,2,19915,7,7.52781773
4,3,9109,10,7.14860344
5,1,18580,2,8.65573311
5,2,19915,7,7.52781773
5,3,9109,10,7.14860344
6,1,18580,2,8.65573311
6,2,19915,7,7.52781773
6,3,9109,10,7.14860344
7,1,18580,2,8.65573311
7,2,19915,7,7.52781773
7,3,9109,10,7.14860344
8,1,18580,2,8.65573311
8,2,19915,7,7.52781773
8,3,8727,21,5.96798468
9,1,18580,2,8.65573311
9,2,19915,7,7.52781773
9,3,9109,10,7.14860344
10,1,18580,2,8.65573311
10,2,19915,7,7.52781773
10,3,9109,10,7.14860344
11,1,18580,2,8.65573311
11,2,19915,7,7.52781773
11,3,8048,30,4.90217018
12,1,18580,2,8.65573311
12,2,19915,7,7.52781773
12,3,8727,21,5.96798468
13,1,18580,2,8.65573311
13,2,23179,3,8.31321621
13,3,8048,30,4.90217018
14,1,18580,2,8.65573311
14,2,23179,3,8.31321621
14,3,8048,30,4.90217018
15,1,18580,2,8.65573311
15,2,8727,21,5.96798468
15,3,8048,30,4.90217018
16,1,18580,2,8.65573311
16,2,23179,3,8.31321621
16,3,8048,30,4.90217018
17,1,18580,2,8.65573311
17,2,8727,21,5.96798468
17,3,8048,30,4.90217018
18,1,18580,2,8.65573311
18,2,9109,10,7.14860344
18,3,8048,30,4.90217018
19,1,18580,2,8.65573311
19,2,8727,21,5.96798468
19,3,8048,30,4.90217018
20,1,18580,2,8.65573311
20,2,8727,21,5.96798468
20,3,8048,30,4.90217018
21,1,18580,2,8.65573311
21,2,23179,3,8.31321621
21,3,8048,30,4.90217018
22,1,18580,2,8.65573311
22,2,9109,10,7.14860344
22,3,8048,30,4.90217018
23,1,18580,2,8.65573311
23,2,8727,21,5.96798468
23,3,8048,30,4.90217018
24,1,18580,2,8.65573311
24,2,8727,21,5.96798468
24,3,8048,30,4.90217018
25,1,18580,2,8.65573311
25,2,9109,10,7.14860344
25,3,8048,30,4.90217018
26,1,18580,2,8.65573311
26,2,8727,21,5.96798468
26,3,8048,30,4.90217018
27,1,18580,2,8.65573311
27,2,8727,21,5.96798468
27,3,8048,30,4.90217018
28,1,18580,2,8.65573311
28,2,23179,3,8.31321621
28,3,8048,30,4.90217018
29,1,18580,2,8.65573311
29,2,8727,21,5.96798468
29,3,8048,30,4.90217018
30,1,18580,2,8.65573311
30,2,23179,3,8.31321621
30,3,8048,30,4.90217018
