user_id	bundle_id
0	21158
0	24164
0	24422
1	9755
1	15246
1	16748
2	2440
2	8547
2	23065
3	9725
3	15246
3	20229
4	20797
4	26020
4	26552
5	1461
5	12212
5	16674
6	13366
6	15633
6	18994
7	5669
7	15147
7	15623
8	184
8	3453
8	26486
9	964
9	2285
9	12274
10	121
10	5818
10	12681
11	3311
11	15437
11	23516
12	2036
12	7276
12	18196
13	2398
13	8547
13	16465
14	3393
14	12849
14	20509
15	167
15	5384
15	27074
16	4307
16	20706
16	22161
17	8223
17	16470
17	21473
18	2398
18	5855
18	22952
19	14040
19	16687
19	19502
20	8334
20	21044
20	26308
21	6255
21	8111
21	18481
22	15650
22	20818
22	21501
23	1616
23	7997
23	27665
24	6505
24	9415
24	25525
25	2196
25	6269
25	9142
26	4710
26	24164
26	24250
27	15643
27	16465
27	22329
28	16189
28	16674
28	25329
29	926
29	7294
29	22958
30	12574
30	22084
30	24603
31	22
31	5855
31	19776
32	3319
32	21434
32	25352
33	9351
33	12880
33	23073
34	8350
34	20706
34	21873
35	3311
35	16440
35	18436
36	3232
36	16223
36	26705
37	9708
37	16914
37	26420
38	3465
38	7638
38	19221
39	9055
39	20835
39	21194
40	689
40	10858
40	18468
41	20364
41	23118
41	26552
42	993
42	1014
42	16492
43	926
43	20164
43	25253
44	3819
44	15798
44	20461
45	7656
45	12574
45	24766
46	20264
46	24261
46	24389
47	2398
47	15915
47	21857
48	3710
48	9489
48	10870
49	21983
49	23516
49	23935
50	1014
50	4507
50	5362
51	647
51	14746
51	26526
52	3972
52	9708
52	13574
53	1231
53	17476
53	20511
54	18568
54	20364
54	20767
55	8452
55	16883
55	24738
56	992
56	20154
56	27048
57	137
57	11930
57	18568
58	2246
58	18378
58	25860
59	7293
59	9947
59	21025
60	8768
60	15197
60	18433
61	6577
61	11851
61	12727
62	15844
62	20130
62	20357
63	13532
63	16183
63	26300
64	3533
64	4000
64	18327
65	6860
65	17961
65	22165
66	4566
66	18550
66	20507
67	5206
67	16644
67	23118
68	4561
68	6062
68	24603
69	8224
69	13937
69	23092
70	10017
70	13699
70	24801
71	2598
71	3552
71	8018
72	5153
72	6169
72	12143
73	1405
73	6218
73	27083
74	5401
74	14162
74	24455
75	2605
75	14119
75	20130
76	3552
76	7453
76	8886
77	12143
77	14225
77	19935
78	23989
78	25210
78	27590
79	121
79	7453
79	20189
80	13344
80	21276
80	23092
81	1424
81	9620
81	10218
82	13479
82	17192
82	26407
83	4963
83	14986
83	21276
84	11924
84	16069
84	25239
85	6682
85	15314
85	25386
86	8463
86	26059
86	26509
87	16022
87	18171
87	25453
88	7710
88	12187
88	16092
89	10802
89	12849
89	19757
90	16092
90	17784
90	26222
91	3460
91	12574
91	23580
92	9167
92	20229
92	25032
93	2315
93	5214
93	13297
94	16274
94	21265
94	21276
95	4481
95	17213
95	21923
96	16470
96	16656
96	24422
97	2681
97	8048
97	10707
98	455
98	7628
98	10369
99	8596
99	15567
99	23060
100	22609
100	23299
100	26509
101	1846
101	4810
101	24164
102	4945
102	18994
102	25253
103	1713
103	2155
103	22798
104	6860
104	12590
104	19865
105	5478
105	6067
105	24590
106	23833
106	24784
106	25430
107	5855
107	16092
107	17580
108	5964
108	19583
108	21519
109	13019
109	15658
109	22952
110	4481
110	26847
110	27247
111	7453
111	13019
111	27404
112	14418
112	17248
112	22503
113	2302
113	8596
113	26781
114	11895
114	14620
114	25858
115	5126
115	23730
115	25892
116	69
116	18984
116	20229
117	7917
117	21804
117	23516
118	4000
118	18042
118	23814
119	8452
119	15252
119	20004
120	2892
