epoch	edge_file	rebuilt_edges	avg_user_edges	user_coverage	bundle_coverage	density
1	outputs/module1_ablation/diffusion_topk_edges/iFashion/AnchorViewBundleNet/M1A_diff_k3_DWT_strategy_diffusion_k3_Neg_1_2048_0.001_64_2_0.05-0.0-0.2_0.5-0.5-0.0_0.3-0.4-0.3_0.5_f5e82bac/epoch_001_edges.tsv	161691	3.000000	1.000000	0.188272	0.0001083267
2	outputs/module1_ablation/diffusion_topk_edges/iFashion/AnchorViewBundleNet/M1A_diff_k3_DWT_strategy_diffusion_k3_Neg_1_2048_0.001_64_2_0.05-0.0-0.2_0.5-0.5-0.0_0.3-0.4-0.3_0.5_f5e82bac/epoch_002_edges.tsv	161691	3.000000	1.000000	0.222539	0.0001083267
3	outputs/module1_ablation/diffusion_topk_edges/iFashion/AnchorViewBundleNet/M1A_diff_k3_DWT_strategy_diffusion_k3_Neg_1_2048_0.001_64_2_0.05-0.0-0.2_0.5-0.5-0.0_0.3-0.4-0.3_0.5_f5e82bac/epoch_003_edges.tsv	161691	3.000000	1.000000	0.234166	0.0001083267
4	outputs/module1_ablation/diffusion_topk_edges/iFashion/AnchorViewBundleNet/M1A_diff_k3_DWT_strategy_diffusion_k3_Neg_1_2048_0.001_64_2_0.05-0.0-0.2_0.5-0.5-0.0_0.3-0.4-0.3_0.5_f5e82bac/epoch_004_edges.tsv	161691	3.000000	1.000000	0.239185	0.0001083267
5	outputs/module1_ablation/diffusion_topk_edges/iFashion/AnchorViewBundleNet/M1A_diff_k3_DWT_strategy_diffusion_k3_Neg_1_2048_0.001_64_2_0.05-0.0-0.2_0.5-0.5-0.0_0.3-0.4-0.3_0.5_f5e82bac/epoch_005_edges.tsv	161691	3.000000	1.000000	0.246696	0.0001083267
6	outputs/module1_ablation/diffusion_topk_edges/iFashion/AnchorViewBundleNet/M1A_diff_k3_DWT_strategy_diffusion_k3_Neg_1_2048_0.001_64_2_0.05-0.0-0.2_0.5-0.5-0.0_0.3-0.4-0.3_0.5_f5e82bac/epoch_006_edges.tsv	161691	3.000000	1.000000	0.246046	0.0001083267
7	outputs/module1_ablation/diffusion_topk_edges/iFashion/AnchorViewBundleNet/M1A_diff_k3_DWT_strategy_diffusion_k3_Neg_1_2048_0.001_64_2_0.05-0.0-0.2_0.5-0.5-0.0_0.3-0.4-0.3_0.5_f5e82bac/epoch_007_edges.tsv	161691	3.000000	1.000000	0.247057	0.0001083267
8	outputs/module1_ablation/diffusion_topk_edges/iFashion/AnchorViewBundleNet/M1A_diff_k3_DWT_strategy_diffusion_k3_Neg_1_2048_0.001_64_2_0.05-0.0-0.2_0.5-0.5-0.0_0.3-0.4-0.3_0.5_f5e82bac/epoch_008_edges.tsv	161691	3.000000	1.000000	0.250740	0.0001083267
9	outputs/module1_ablation/diffusion_topk_edges/iFashion/AnchorViewBundleNet/M1A_diff_k3_DWT_strategy_diffusion_k3_Neg_1_2048_0.001_64_2_0.05-0.0-0.2_0.5-0.5-0.0_0.3-0.4-0.3_0.5_f5e82bac/epoch_009_edges.tsv	161691	3.000000	1.000000	0.251643	0.0001083267
10	outputs/module1_ablation/diffusion_topk_edges/iFashion/AnchorViewBundleNet/M1A_diff_k3_DWT_strategy_diffusion_k3_Neg_1_2048_0.001_64_2_0.05-0.0-0.2_0.5-0.5-0.0_0.3-0.4-0.3_0.5_f5e82bac/epoch_010_edges.tsv	161691	3.000000	1.000000	0.252329	0.0001083267
11	outputs/module1_ablation/diffusion_topk_edges/iFashion/AnchorViewBundleNet/M1A_diff_k3_DWT_strategy_diffusion_k3_Neg_1_2048_0.001_64_2_0.05-0.0-0.2_0.5-0.5-0.0_0.3-0.4-0.3_0.5_f5e82bac/epoch_011_edges.tsv	161691	3.000000	1.000000	0.250199	0.0001083267
12	outputs/module1_ablation/diffusion_topk_edges/iFashion/AnchorViewBundleNet/M1A_diff_k3_DWT_strategy_diffusion_k3_Neg_1_2048_0.001_64_2_0.05-0.0-0.2_0.5-0.5-0.0_0.3-0.4-0.3_0.5_f5e82bac/epoch_012_edges.tsv	161691	3.000000	1.000000	0.257781	0.0001083267
13	outputs/module1_ablation/diffusion_topk_edges/iFashion/AnchorViewBundleNet/M1A_diff_k3_DWT_strategy_diffusion_k3_Neg_1_2048_0.001_64_2_0.05-0.0-0.2_0.5-0.5-0.0_0.3-0.4-0.3_0.5_f5e82bac/epoch_013_edges.tsv	161691	3.000000	1.000000	0.258612	0.0001083267
14	outputs/module1_ablation/diffusion_topk_edges/iFashion/AnchorViewBundleNet/M1A_diff_k3_DWT_strategy_diffusion_k3_Neg_1_2048_0.001_64_2_0.05-0.0-0.2_0.5-0.5-0.0_0.3-0.4-0.3_0.5_f5e82bac/epoch_014_edges.tsv	161691	3.000000	1.000000	0.252798	0.0001083267
15	outputs/module1_ablation/diffusion_topk_edges/iFashion/AnchorViewBundleNet/M1A_diff_k3_DWT_strategy_diffusion_k3_Neg_1_2048_0.001_64_2_0.05-0.0-0.2_0.5-0.5-0.0_0.3-0.4-0.3_0.5_f5e82bac/epoch_015_edges.tsv	161691	3.000000	1.000000	0.255182	0.0001083267
