experiment_id,method_group,method_name,strategy,k,status,attempts,best_epoch,recall@10,ndcg@10,recall@20,ndcg@20,recall@40,ndcg@40,recall@80,ndcg@80,updated_at,log_path,failure_tail
M1A_diff_k1,A,Diffusion Top-K,diffusion,1,success,1,29,0.11079,0.10899,0.15600,0.12727,0.21018,0.14634,0.27108,0.16456,2026-06-16 04:00:17,outputs/module1_ablation/logs/M1A_diff_k1_attempt1_20260616_032904.log,
M1A_diff_k3,A,Diffusion Top-K,diffusion,3,success,1,29,0.11451,0.11461,0.15691,0.13160,0.20653,0.14906,0.26457,0.16640,2026-06-16 04:32:55,outputs/module1_ablation/logs/M1A_diff_k3_attempt1_20260616_040017.log,
M1A_diff_k5,A,Diffusion Top-K,diffusion,5,success,1,29,0.11469,0.11509,0.15716,0.13213,0.20683,0.14962,0.26373,0.16663,2026-06-16 05:05:46,outputs/module1_ablation/logs/M1A_diff_k5_attempt1_20260616_043255.log,
M1A_diff_k7,A,Diffusion Top-K,diffusion,7,success,1,29,0.11347,0.11328,0.15651,0.13056,0.20730,0.14843,0.26493,0.16567,2026-06-16 05:38:39,outputs/module1_ablation/logs/M1A_diff_k7_attempt1_20260616_050547.log,
M1A_diff_k9,A,Diffusion Top-K,diffusion,9,success,2,29,0.11163,0.11120,0.15528,0.12878,0.20685,0.14698,0.26624,0.16471,2026-06-16 06:17:10,outputs/module1_ablation/logs/M1A_diff_k9_attempt2_20260616_054420.log,
M1B_rand_k1,B,Random Top-K,random,1,success,1,24,0.10678,0.10365,0.15091,0.12161,0.20322,0.14004,0.26420,0.15827,2026-06-16 06:44:46,outputs/module1_ablation/logs/M1B_rand_k1_attempt1_20260616_061710.log,
M1B_rand_k3,B,Random Top-K,random,3,success,1,29,0.10966,0.10762,0.15311,0.12524,0.20619,0.14396,0.26630,0.16195,2026-06-16 07:12:26,outputs/module1_ablation/logs/M1B_rand_k3_attempt1_20260616_064446.log,
M1B_rand_k5,B,Random Top-K,random,5,success,1,29,0.10901,0.10735,0.15306,0.12512,0.20684,0.14409,0.26861,0.16254,2026-06-16 07:40:43,outputs/module1_ablation/logs/M1B_rand_k5_attempt1_20260616_071226.log,
M1B_rand_k7,B,Random Top-K,random,7,success,1,29,0.10830,0.10652,0.15234,0.12431,0.20714,0.14361,0.26943,0.16223,2026-06-16 08:09:32,outputs/module1_ablation/logs/M1B_rand_k7_attempt1_20260616_074043.log,
M1B_rand_k9,B,Random Top-K,random,9,success,1,29,0.10787,0.10613,0.15305,0.12441,0.20715,0.14345,0.26973,0.16218,2026-06-16 08:38:40,outputs/module1_ablation/logs/M1B_rand_k9_attempt1_20260616_080932.log,
M1C_pre_k1,C,Pretrain Similarity Top-K,pretrain_sim,1,success,1,14,0.09827,0.09545,0.14217,0.11333,0.19616,0.13232,0.25814,0.15082,2026-06-16 09:06:27,outputs/module1_ablation/logs/M1C_pre_k1_attempt1_20260616_083840.log,
M1C_pre_k3,C,Pretrain Similarity Top-K,pretrain_sim,3,success,1,14,0.10297,0.10043,0.14662,0.11812,0.19913,0.13661,0.25886,0.15448,2026-06-16 09:34:34,outputs/module1_ablation/logs/M1C_pre_k3_attempt1_20260616_090628.log,
M1C_pre_k5,C,Pretrain Similarity Top-K,pretrain_sim,5,success,1,14,0.10543,0.10315,0.14897,0.12080,0.20030,0.13890,0.25917,0.15651,2026-06-16 10:02:53,outputs/module1_ablation/logs/M1C_pre_k5_attempt1_20260616_093434.log,
M1C_pre_k7,C,Pretrain Similarity Top-K,pretrain_sim,7,success,1,14,0.10547,0.10378,0.14897,0.12142,0.20032,0.13951,0.25960,0.15724,2026-06-16 10:32:25,outputs/module1_ablation/logs/M1C_pre_k7_attempt1_20260616_100253.log,
M1C_pre_k9,C,Pretrain Similarity Top-K,pretrain_sim,9,success,1,14,0.10696,0.10492,0.14963,0.12220,0.20181,0.14058,0.26101,0.15827,2026-06-16 11:02:01,outputs/module1_ablation/logs/M1C_pre_k9_attempt1_20260616_103225.log,
M1D_pop_k1,D,Popularity Top-K,popularity,1,success,1,29,0.11448,0.11534,0.15790,0.13285,0.21068,0.15146,0.27204,0.16978,2026-06-16 11:29:15,outputs/module1_ablation/logs/M1D_pop_k1_attempt1_20260616_110201.log,
M1D_pop_k3,D,Popularity Top-K,popularity,3,success,1,29,0.11661,0.11867,0.15788,0.13517,0.20700,0.15246,0.26373,0.16942,2026-06-16 11:56:27,outputs/module1_ablation/logs/M1D_pop_k3_attempt1_20260616_112915.log,
M1D_pop_k5,D,Popularity Top-K,popularity,5,success,1,29,0.11730,0.11941,0.15824,0.13576,0.20658,0.15278,0.26234,0.16943,2026-06-16 12:24:14,outputs/module1_ablation/logs/M1D_pop_k5_attempt1_20260616_115627.log,
M1D_pop_k7,D,Popularity Top-K,popularity,7,success,1,29,0.11619,0.11724,0.15860,0.13425,0.20806,0.15168,0.26512,0.16872,2026-06-16 12:52:44,outputs/module1_ablation/logs/M1D_pop_k7_attempt1_20260616_122414.log,
M1D_pop_k9,D,Popularity Top-K,popularity,9,success,1,29,0.11363,0.11385,0.15637,0.13099,0.20794,0.14915,0.26553,0.16634,2026-06-16 13:21:49,outputs/module1_ablation/logs/M1D_pop_k9_attempt1_20260616_125244.log,
M1E_z0_k1,E,Pooled z0 Top-K,pooled_z0,1,success,1,24,0.11143,0.10984,0.15537,0.12757,0.20878,0.14639,0.26907,0.16443,2026-06-16 13:49:33,outputs/module1_ablation/logs/M1E_z0_k1_attempt1_20260616_132149.log,
M1E_z0_k3,E,Pooled z0 Top-K,pooled_z0,3,success,1,29,0.11413,0.11448,0.15653,0.13150,0.20621,0.14900,0.26347,0.16610,2026-06-16 14:18:29,outputs/module1_ablation/logs/M1E_z0_k3_attempt1_20260616_134933.log,
M1E_z0_k5,E,Pooled z0 Top-K,pooled_z0,5,success,1,29,0.11390,0.11452,0.15630,0.13153,0.20573,0.14889,0.26267,0.16591,2026-06-16 14:48:08,outputs/module1_ablation/logs/M1E_z0_k5_attempt1_20260616_141829.log,
M1E_z0_k7,E,Pooled z0 Top-K,pooled_z0,7,success,2,29,0.11299,0.11329,0.15586,0.13051,0.20612,0.14822,0.26390,0.16549,2026-06-16 15:22:50,outputs/module1_ablation/logs/M1E_z0_k7_attempt2_20260616_145336.log,
M1E_z0_k9,E,Pooled z0 Top-K,pooled_z0,9,success,1,29,0.11121,0.11071,0.15444,0.12810,0.20600,0.14623,0.26482,0.16379,2026-06-16 15:53:13,outputs/module1_ablation/logs/M1E_z0_k9_attempt1_20260616_152250.log,
M1Raw,Raw,Raw UB baseline,raw,all,success,1,14,0.10600,0.10449,0.15035,0.12243,0.20400,0.14130,0.26647,0.15995,2026-06-16 03:29:04,outputs/module1_ablation/logs/M1Raw_attempt1_20260616_025421.log,
